Player Name,Team,Opponent,Prop Category,Prop Line,Model_Pred,Model_Conf,Edge_Type,Consistency_CV,Active_Hit%,Tier,GAME_DATE,Match_Date,Actual Value,Result,Mapped_Prop
Ayo Dosunmu,MIN,ORL,RA,4.5,5.31,0.519,Over,0.612,20.0,Pass / Too Volatile,2026-03-07,2026-03-07,None,Pending / Not Found,RA
Grant Williams,CHA,MIA,PA,7.5,9.56,0.519,Over,0.511,70.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,PA
De'Aaron Fox,SA,LAC,REB,2.5,3.1,0.518,Over,1.111,20.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,REB
Davion Mitchell,MIA,CHA,AST,5.5,5.89,0.518,Over,0.474,40.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,AST
Coby White,CHA,MIA,RA,5.5,6.13,0.518,Over,0.409,30.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,RA
Bennedict Mathurin,LAC,SAS,PA,20.5,21.91,0.518,Under,0.521,50.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,PA
Jaden McDaniels,MIN,ORL,PTS,13.5,15.05,0.517,Under,0.483,40.0,Pass / Too Volatile,2026-03-07,2026-03-07,None,Pending / Not Found,PTS
Carter Bryant,SA,LAC,PTS,4.5,6.47,0.517,Over,1.178,50.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,PTS
Karl-Anthony Towns,NY,DEN,RA,13.5,14.82,0.517,Over,0.453,40.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,RA
Julian Strawther,DEN,NYK,PRA,10.5,13.55,0.517,Over,0.572,70.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,PRA
Julian Champagnie,SA,LAC,RA,6.5,6.97,0.516,Over,0.451,50.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,RA
Josh Green,CHA,MIA,AST,0.5,0.83,0.516,Over,0.789,20.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,AST
Anthony Edwards,MIN,ORL,AST,3.5,3.86,0.516,Over,0.949,20.0,Pass / Too Volatile,2026-03-07,2026-03-07,None,Pending / Not Found,AST
Jaylen Brown,BOS,DAL,RA,11.5,13.33,0.515,Under,0.58,40.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,RA
Amen Thompson,HOU,POR,RA,12.0,13.21,0.515,Over,0.342,30.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,RA
Cooper Flagg,DAL,BOS,PTS,17.5,21.35,0.514,Over,0.53,60.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,PTS
Aaron Gordon,DEN,NYK,AST,1.5,2.54,0.513,Over,0.802,70.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,AST
Bennedict Mathurin,LAC,SAS,PTS,17.5,19.65,0.512,Over,0.544,50.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,PTS
Anthony Edwards,MIN,ORL,PR,33.5,36.31,0.511,Over,0.465,50.0,Pass / Too Volatile,2026-03-07,2026-03-07,None,Pending / Not Found,PR
Keldon Johnson,SA,LAC,REB,4.5,4.91,0.511,Over,0.599,20.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,REB
Christian Braun,DEN,NYK,AST,1.5,2.03,0.511,Under,0.985,60.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,AST
Andrew Nembhard,IND,LAL,RA,7.5,8.32,0.51,Over,0.416,50.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,RA
Dwight Powell,DAL,BOS,PRA,12.5,15.3,0.51,Over,2.666,30.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,PRA
Jayson Tatum,BOS,DAL,PTS,14.5,15.72,0.51,Over,0.234,30.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,PTS
Luke Kornet,SA,LAC,REB,4.5,4.85,0.509,Over,0.466,30.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,REB
Jaxson Hayes,LAL,IND,REB,5.5,5.85,0.509,Over,0.445,50.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,REB
Zion Williamson,NO,PHX,PR,25.5,27.1,0.509,Over,0.301,30.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,PR
Julian Strawther,DEN,NYK,REB,1.5,2.21,0.508,Under,1.132,50.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,REB
Jay Huff,IND,LAL,REB,4.5,4.86,0.508,Over,0.577,70.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,REB
Jalen Green,PHX,NOP,PTS,18.5,19.54,0.508,Under,0.501,80.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,PTS
Jay Huff,IND,LAL,RA,5.5,5.88,0.508,Over,0.444,80.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,RA
Baylor Scheierman,BOS,DAL,AST,1.5,2.09,0.508,Under,1.034,40.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,AST
Zion Williamson,NO,PHX,REB,5.5,5.84,0.506,Over,0.399,0.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,REB
Collin Gillespie,PHX,NOP,PTS,13.5,14.71,0.506,Over,0.469,60.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,PTS
Toumani Camara,POR,HOU,RA,7.5,8.11,0.506,Over,0.414,60.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,RA
Scoot Henderson,POR,HOU,RA,6.5,6.93,0.505,Over,0.382,30.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,RA
Julian Strawther,DEN,NYK,PTS,7.5,9.89,0.505,Over,0.545,70.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,PTS
Anthony Edwards,MIN,ORL,PTS,28.5,31.01,0.505,Over,0.503,50.0,Pass / Too Volatile,2026-03-07,2026-03-07,None,Pending / Not Found,PTS
Dejounte Murray,NO,PHX,AST,5.5,5.9,0.505,Over,0.481,40.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,AST
Julius Randle,MIN,ORL,RA,11.5,12.29,0.504,Over,0.418,50.0,Pass / Too Volatile,2026-03-07,2026-03-07,None,Pending / Not Found,RA
Keldon Johnson,SA,LAC,PRA,17.5,18.65,0.504,Under,0.577,80.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,PRA
Amen Thompson,HOU,POR,PA,22.5,23.77,0.503,Over,0.298,30.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,PA
Kobe Sanders,LAC,SAS,AST,1.5,1.78,0.501,Over,0.527,60.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,AST
Clint Capela,HOU,POR,PRA,10.5,11.08,0.501,Over,0.669,0.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,PRA
Sam Hauser,BOS,DAL,AST,0.5,1.1,0.5,Over,0.745,60.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,AST
Josh Hart,NY,DEN,REB,7.0,7.81,0.499,Over,0.411,40.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,REB
